0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:53:51 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:53:52 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 735
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:53:52 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:18 +0200] "GET /CRUD-MVC/Index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:26 +0200] "GET /CRUD-MVC/Index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:28 +0200] "GET /CRUD-MVC/Index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:52 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:55 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:54:55 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 404 674
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:06 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:07 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:08 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:18 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:19 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:19 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:20 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:20 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:55:20 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:01 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:01 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:05 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:05 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:06 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:06 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:08 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:18:56:08 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:16 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2344
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:17 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:17 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:17 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:17 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:18 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:18 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:19 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:19 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:32 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:32 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:33 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:34 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:34 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:34 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:34 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:35 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:35 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:35 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:35 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:39 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:41 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 200 741
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:00:41 +0200] "GET /CRUD-MVC/style.css HTTP/1.1" 404 709
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:05 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2342
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:06 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:07 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:26 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2785
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:27 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:30 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:30 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:30 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:30 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2785
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
0:0:0:0:0:0:0:1 - - [03/Oct/2021:19:07:31 +0200] "GET /CRUD-MVC/index.jsp HTTP/1.1" 500 2872
